"date","block","DailyLPCD"
2016-02-24,"PG_B1",89.3414067684141
2016-02-25,"PG_B1",132.905331218739
2016-02-25,"PG_B2",63.1930693069307
2016-02-26,"PG_B1",187.782115408076
2016-02-26,"PG_B2",132.176093787769
2016-02-27,"PG_B1",187.867512504575
2016-02-27,"PG_B2",165.506405607928
2016-02-28,"PG_B1",187.803464682201
2016-02-28,"PG_B2",165.503384094755
2016-02-29,"PG_B1",187.760766133951
2016-02-29,"PG_B2",165.494319555233
2016-03-01,"PG_B1",187.79431499329
2016-03-01,"PG_B2",165.509427121102
2016-03-01,"PG_B3",59.4250148192057
2016-03-02,"PG_B1",187.791265096987
2016-03-02,"PG_B2",165.479211989364
2016-03-02,"PG_B3",95.2413065149827
2016-03-02,"PG_B4",60.8596810296586
2016-03-03,"PG_B1",187.748566548737
2016-03-03,"PG_B2",165.448996857626
2016-03-03,"PG_B3",100.911863015305
2016-03-03,"PG_B4",111.856463346391
2016-03-03,"PG_B5",78.758483581271
2016-03-04,"PG_B1",187.843113334147
2016-03-04,"PG_B2",165.433889291757
2016-03-04,"PG_B3",99.8751886682921
2016-03-04,"PG_B4",111.838975937325
2016-03-04,"PG_B5",152.858129824878
2016-03-05,"PG_B1",187.84616323045
2016-03-05,"PG_B2",165.439932318105
2016-03-05,"PG_B3",99.8751886682921
2016-03-05,"PG_B4",111.870453273643
2016-03-05,"PG_B5",160.139377008801
2016-03-06,"PG_B1",187.824813956325
2016-03-06,"PG_B2",165.458061397148
2016-03-06,"PG_B3",99.8897016138395
2016-03-06,"PG_B4",111.877448237269
2016-03-06,"PG_B5",160.160403712715
2016-03-07,"PG_B1",184.061122363875
2016-03-07,"PG_B2",165.461082910321
2016-03-07,"PG_B3",99.8432601880878
2016-03-07,"PG_B4",111.838975937325
2016-03-07,"PG_B5",160.160403712715
2016-03-08,"PG_B1",187.745740498034
2016-03-08,"PG_B2",165.050776583035
2016-03-08,"PG_B3",100.995588064554
2016-03-08,"PG_B4",113.23447118075
2016-03-08,"PG_B5",161.473070799916
2016-03-09,"PG_B1",179.642058165548
2016-03-09,"PG_B2",164.50507914009
2016-03-09,"PG_B3",95.7012655288517
2016-03-09,"PG_B4",112.272663682149
2016-03-09,"PG_B5",149.683097533868
2016-03-10,"PG_B1",186.530083598257
2016-03-10,"PG_B2",170.892393101819
2016-03-10,"PG_B3",96.4936723557413
2016-03-10,"PG_B4",104.106043648573
2016-03-10,"PG_B5",148.974197230483
2016-03-11,"PG_B1",186.962792888261
2016-03-11,"PG_B2",158.507559650366
2016-03-11,"PG_B3",95.8687894592369
2016-03-11,"PG_B4",101.198304349277
2016-03-11,"PG_B5",146.659164439443
2016-03-12,"PG_B1",186.123866713764
2016-03-12,"PG_B2",162.674226317033
2016-03-12,"PG_B3",112.379906670327
2016-03-12,"PG_B4",114.449747988918
2016-03-12,"PG_B5",150.347446898298
2016-03-13,"PG_B1",201.969268809608
2016-03-13,"PG_B2",164.528703047484
2016-03-13,"PG_B3",110.425473510843
2016-03-13,"PG_B4",124.930738676191
2016-03-13,"PG_B5",155.881277254185
2016-03-14,"PG_B1",190.686447662781
2016-03-14,"PG_B2",161.873966454051
2016-03-14,"PG_B3",101.795223716717
2016-03-14,"PG_B4",118.298341066124
2016-03-14,"PG_B5",144.926149950767
2016-03-15,"PG_B1",176.801483574709
2016-03-15,"PG_B2",180.581148121899
2016-03-15,"PG_B3",100.104309634916
2016-03-15,"PG_B4",107.505077638734
2016-03-15,"PG_B5",145.916443944296
2016-03-16,"PG_B1",171.929824561404
2016-03-16,"PG_B2",163.453815261044
2016-03-16,"PG_B3",96.0225089212188
2016-03-16,"PG_B4",108.242154229182
2016-03-16,"PG_B5",140.362920241947
2016-03-17,"PG_B1",173.846108559991
2016-03-17,"PG_B2",173.514646822584
2016-03-17,"PG_B3",104.960197639308
2016-03-17,"PG_B4",97.7953220205726
2016-03-17,"PG_B5",136.162610775074
2016-03-18,"PG_B1",164.229365359708
2016-03-18,"PG_B2",153.478620363808
2016-03-18,"PG_B3",104.883337908317
2016-03-18,"PG_B4",103.911419773308
2016-03-18,"PG_B5",134.989449992967
2016-03-19,"PG_B1",175.432709290004
2016-03-19,"PG_B2",176.160524450744
2016-03-19,"PG_B3",124.287674993138
2016-03-19,"PG_B4",119.488305051432
2016-03-19,"PG_B5",143.058095372064
2016-03-20,"PG_B1",184.113387495585
2016-03-20,"PG_B2",171.001653673518
2016-03-20,"PG_B3",116.884435904474
2016-03-20,"PG_B4",127.357007141453
2016-03-20,"PG_B5",169.897313264876
2016-03-21,"PG_B1",183.671847403744
2016-03-21,"PG_B2",168.748523505788
2016-03-21,"PG_B3",105.986824046116
2016-03-21,"PG_B4",118.600537246937
2016-03-21,"PG_B5",150.752567168378
2016-03-22,"PG_B1",163.567055221947
2016-03-22,"PG_B2",165.358492794708
2016-03-22,"PG_B3",104.91902278342
2016-03-22,"PG_B4",104.435563126515
2016-03-22,"PG_B5",139.625826417218
2016-03-23,"PG_B1",176.830919580831
2016-03-23,"PG_B2",177.58386487125
2016-03-23,"PG_B3",104.537469118858
2016-03-23,"PG_B4",114.23376793553
2016-03-23,"PG_B5",136.62962441975
2016-03-24,"PG_B1",170.652301895679
2016-03-24,"PG_B2",160.695724072762
2016-03-24,"PG_B3",100.675267636563
2016-03-24,"PG_B4",113.611347703597
2016-03-24,"PG_B5",135.833450555634
2016-03-25,"PG_B1",177.537383727776
2016-03-25,"PG_B2",173.11894637373
2016-03-25,"PG_B3",112.830085094702
2016-03-25,"PG_B4",106.722138504881
2016-03-25,"PG_B5",148.093965395977
2016-03-26,"PG_B1",178.276227481455
2016-03-26,"PG_B2",177.208835341365
2016-03-26,"PG_B3",101.981883063409
2016-03-26,"PG_B4",114.296009958724
2016-03-26,"PG_B5",144.490082993389
2016-03-27,"PG_B1",187.622159425409
2016-03-27,"PG_B2",178.097684857075
2016-03-27,"PG_B3",115.890749382377
2016-03-27,"PG_B4",124.382493612003
2016-03-27,"PG_B5",153.729347190103
2016-03-28,"PG_B1",180.704697986577
2016-03-28,"PG_B2",164.032600992204
2016-03-28,"PG_B3",107.205599780401
2016-03-28,"PG_B4",111.917709493546
2016-03-28,"PG_B5",146.423894569669
2016-03-29,"PG_B1",176.312845873072
2016-03-29,"PG_B2",172.551972596267
2016-03-29,"PG_B3",103.255558605545
2016-03-29,"PG_B4",105.329882722925
2016-03-29,"PG_B5",138.318798584603
2016-03-30,"PG_B1",175.888967384905
2016-03-30,"PG_B2",169.616702102528
2016-03-30,"PG_B3",98.3063409278067
2016-03-30,"PG_B4",113.395138570399
2016-03-30,"PG_B5",143.08601042044
2016-03-31,"PG_B1",171.426468856706
2016-03-31,"PG_B2",175.011811953697
2016-03-31,"PG_B3",100.557233049684
2016-03-31,"PG_B4",107.586975037673
2016-03-31,"PG_B5",140.681507898916
2016-04-01,"PG_B1",175.503355704698
2016-04-01,"PG_B2",179.668674698795
2016-04-01,"PG_B3",96.6703266538567
2016-04-01,"PG_B4",106.905588678504
2016-04-01,"PG_B5",135.148087264217
2016-04-02,"PG_B1",179.447780525138
2016-04-02,"PG_B2",182.013347507678
2016-04-02,"PG_B3",112.316771891298
2016-04-02,"PG_B4",114.96756863002
2016-04-02,"PG_B5",157.58825332256
2016-04-03,"PG_B1",190.315553985635
2016-04-03,"PG_B2",182.834278289629
2016-04-03,"PG_B3",110.219599231403
2016-04-03,"PG_B4",133.853108825264
2016-04-03,"PG_B5",163.330639993313
2016-04-04,"PG_B1",190.651124455434
2016-04-04,"PG_B2",160.99102291519
2016-04-04,"PG_B3",113.513587702443
2016-04-04,"PG_B4",109.051300530695
2016-04-04,"PG_B5",143.136162269093
2016-04-05,"PG_B1",189.085128929707
2016-04-05,"PG_B2",158.445546893456
2016-04-05,"PG_B3",108.059291792479
2016-04-05,"PG_B4",106.885933302758
2016-04-05,"PG_B5",145.668830626062
2016-04-06,"PG_B1",177.593312139409
2016-04-06,"PG_B2",166.71686746988
2016-04-06,"PG_B3",102.478726324458
2016-04-06,"PG_B4",113.444277009762
2016-04-06,"PG_B5",139.876292106656
2016-04-07,"PG_B1",175.426822088779
2016-04-07,"PG_B2",166.595794944484
2016-04-07,"PG_B3",105.015097447159
2016-04-07,"PG_B4",108.828539605582
2016-04-07,"PG_B5",142.400601822184
2016-04-08,"PG_B1",176.983986812669
2016-04-08,"PG_B2",166.268013229388
2016-04-08,"PG_B3",104.757068350261
2016-04-08,"PG_B4",107.387145384263
2016-04-08,"PG_B5",122.983477752083
2016-04-09,"PG_B1",175.088308018368
2016-04-09,"PG_B2",182.789983463265
2016-04-09,"PG_B3",114.213560252539
2016-04-09,"PG_B4",122.911616327065
2016-04-09,"PG_B5",152.419826697501
2016-04-10,"PG_B1",191.65783586483
2016-04-10,"PG_B2",182.285022442712
2016-04-10,"PG_B3",118.062036782871
2016-04-10,"PG_B4",127.478215291882
2016-04-10,"PG_B5",161.18804157031
2016-04-11,"PG_B1",185.264335334982
2016-04-11,"PG_B2",176.960784313725
2016-04-11,"PG_B3",105.761734833928
2016-04-11,"PG_B4",119.678307016969
2016-04-11,"PG_B5",140.110334067036
2016-04-12,"PG_B1",184.637348404568
2016-04-12,"PG_B2",161.224309000709
2016-04-12,"PG_B3",98.8278891023881
2016-04-12,"PG_B4",110.820284347769
2016-04-12,"PG_B5",145.370705747959
2016-04-13,"PG_B1",179.868715412693
2016-04-13,"PG_B2",169.900188991259
2016-04-13,"PG_B3",103.296733461433
2016-04-13,"PG_B4",116.854484701566
2016-04-13,"PG_B5",140.076899501268
2016-04-14,"PG_B1",176.039091016131
2016-04-14,"PG_B2",164.162532482873
2016-04-14,"PG_B3",96.3189678836124
2016-04-14,"PG_B4",108.425604402804
2016-04-14,"PG_B5",142.707085341729
2016-04-15,"PG_B1",179.194630872483
2016-04-15,"PG_B2",157.648240018899
2016-04-15,"PG_B3",101.948943178699
2016-04-15,"PG_B4",109.477844001037
2016-04-15,"PG_B5",134.025243097155
2016-04-16,"PG_B1",183.512892970682
2016-04-16,"PG_B2",174.681077250177
2016-04-16,"PG_B3",118.083996706012
2016-04-16,"PG_B4",122.800596009329
2016-04-16,"PG_B5",152.046474046418
2016-04-17,"PG_B1",186.318144354174
2016-04-17,"PG_B2",185.574651547366
2016-04-17,"PG_B3",128.089486686797
2016-04-17,"PG_B4",128.38818346722
2016-04-17,"PG_B5",166.214371290853
2016-04-18,"PG_B1",185.655834216414
2016-04-18,"PG_B2",167.694306638318
2016-04-18,"PG_B3",104.715893494373
2016-04-18,"PG_B4",107.900362788287
2016-04-18,"PG_B5",147.789139338553
2016-04-19,"PG_B1",179.018014835747
2016-04-19,"PG_B2",169.631467044649
2016-04-19,"PG_B3",103.538292615976
2016-04-19,"PG_B4",115.765094584089
2016-04-19,"PG_B5",141.589813602296
2016-04-20,"PG_B1",172.012245378547
2016-04-20,"PG_B2",162.316914717694
2016-04-20,"PG_B3",99.4180620367829
2016-04-20,"PG_B4",106.656517232444
2016-04-20,"PG_B5",136.647070296175
2016-04-21,"PG_B1",172.709878723655
2016-04-21,"PG_B2",158.30380344909
2016-04-21,"PG_B3",102.533626132309
2016-04-21,"PG_B4",104.201217932107
2016-04-21,"PG_B5",147.864367111532
2016-04-22,"PG_B1",157.173554692099
2016-04-22,"PG_B2",160.137609260572
2016-04-22,"PG_B3",99.8023606917376
2016-04-22,"PG_B4",104.346981083182
2016-04-22,"PG_B5",139.502939455574
2016-04-23,"PG_B1",166.987519133404
2016-04-23,"PG_B2",172.66418615639
2016-04-23,"PG_B3",111.248970628603
2016-04-23,"PG_B4",123.471106504276
2016-04-23,"PG_B5",148.332451032292
2016-04-24,"PG_B1",166.231013776051
2016-04-24,"PG_B2",190.405740609497
2016-04-24,"PG_B3",112.942629700796
2016-04-24,"PG_B4",125.343353200311
2016-04-24,"PG_B5",162.444624000446
2016-04-25,"PG_B1",162.666313434593
2016-04-25,"PG_B2",163.693007323411
2016-04-25,"PG_B3",102.396376612682
2016-04-25,"PG_B4",111.920186576833
2016-04-25,"PG_B5",138.366164219442
2016-04-26,"PG_B1",159.637348404568
2016-04-26,"PG_B2",162.43798724309
2016-04-26,"PG_B3",102.755970354104
2016-04-26,"PG_B4",108.425110132159
2016-04-26,"PG_B5",141.759772644953
2016-04-27,"PG_B1",165.083009537266
2016-04-27,"PG_B2",155.020080321285
2016-04-27,"PG_B3",99.9945100192149
